"date","site_code","grab_sample","var","var_category","val","ms_status","ms_interp","val_err"
2021-06-11,"ARIK",0,"discharge","discharge",5.19832368827161,0,0,0.000221002437238546
2021-06-12,"ARIK",0,"discharge","discharge",3.02246936728395,0,0,3.27230426075068e-05
2021-06-13,"ARIK",0,"discharge","discharge",3.26923819444444,0,0,0.000110758335862109
2021-06-14,"ARIK",0,"discharge","discharge",2.61956234567901,0,0,2.1352482233381e-05
2021-06-15,"ARIK",0,"discharge","discharge",2.34459937724313,0,0,0.000385278049281484
2021-06-16,"ARIK",0,"discharge","discharge",2.18531327160494,0,0,3.39208850549474e-05
2021-06-17,"ARIK",0,"discharge","discharge",2.09542546296296,0,0,3.20428703355507e-05
2021-06-18,"ARIK",0,"discharge","discharge",1.99793086419753,0,0,2.52809774833583e-05
2021-06-19,"ARIK",0,"discharge","discharge",2.10400586419753,0,0,2.5224478076057e-05
2021-06-20,"ARIK",0,"discharge","discharge",2.70329737654321,0,0,3.14674430213269e-05
2021-06-21,"ARIK",0,"discharge","discharge",2.61241442901235,0,0,1.32341508243035e-05
2021-06-22,"ARIK",0,"discharge","discharge",2.7795537808642,0,0,2.52759679913112e-05
2021-06-23,"ARIK",0,"discharge","discharge",3.03531188271605,0,0,1.74850845070166e-05
2021-06-24,"ARIK",0,"discharge","discharge",3.02891426366843,0,0,1.79768389461234e-05
2021-06-25,"ARIK",0,"discharge","discharge",3.15523152557319,0,0,1.63005209415734e-05
2021-06-26,"ARIK",0,"discharge","discharge",3.56649050925926,0,0,4.59922120778718e-05
2021-06-27,"ARIK",0,"discharge","discharge",3.29259205246914,0,0,1.85738314522253e-05
2021-06-28,"ARIK",0,"discharge","discharge",3.27862677469136,0,0,1.56928995034661e-05
2021-06-29,"ARIK",0,"discharge","discharge",3.20697901234568,0,0,1.54175339241597e-05
2021-06-30,"ARIK",0,"discharge","discharge",4.40865401234568,0,0,0.000153846252355629
2021-07-01,"ARIK",0,"discharge","discharge",7.8425361882716,0,0,0.000407919092123886
2021-07-02,"ARIK",0,"discharge","discharge",8.17730756172839,0,0,0.000340732801584247
2021-07-03,"ARIK",0,"discharge","discharge",4.77210478395062,0,0,0.000236519552341499
2021-07-04,"ARIK",0,"discharge","discharge",4.29858338844797,0,0,0.000142719675007313
2021-07-05,"ARIK",0,"discharge","discharge",3.41729359567901,0,0,6.91536361087156e-05
2021-07-06,"ARIK",0,"discharge","discharge",3.02063141373801,0,0,0.00203912269538096
2021-07-07,"ARIK",0,"discharge","discharge",3.38233645690087,0,0,0.000179331213212343
2021-07-08,"ARIK",0,"discharge","discharge",3.2198462191358,0,0,3.70584674261905e-05
